km,abs,airco,price,radio,tow_bar,cd_player,met_color,mistlamps,sport_model,central_lock,metallic_rim,mfr_guarantee,bovag_guarantee,backseat_divider,age_08_04_calculada,fuel_type_encoded
130062.0,1,1,11750.0,0,1,0,1,0,0,0,0,0,1,1,39,1
123425.0,1,1,13250.0,0,0,1,1,0,0,1,0,0,1,1,40,1
118217.0,1,1,11950.0,0,0,1,1,0,0,1,0,0,1,1,36,2
110000.0,1,1,11900.0,0,0,0,1,0,0,1,0,0,0,0,43,1
108847.0,1,1,14750.0,0,1,0,1,1,0,1,0,0,1,1,38,1
105699.0,1,0,9950.0,0,0,0,1,0,0,0,0,0,1,1,41,2
98823.0,1,1,11950.0,0,1,1,1,0,0,1,0,1,1,1,38,0
96829.0,1,1,11495.0,0,0,1,1,0,0,0,1,1,1,1,43,2
96518.0,1,1,11250.0,1,1,0,1,0,0,0,0,0,1,0,39,2
92204.0,1,1,10500.0,0,0,0,1,0,0,1,0,1,1,1,41,2
91456.0,1,1,10450.0,0,0,0,1,1,0,1,0,0,1,1,34,1
89968.0,0,0,12950.0,1,0,0,1,0,0,1,1,0,0,1,42,1
89757.0,1,1,11500.0,0,0,1,1,1,1,1,1,1,1,1,43,2
85389.0,1,1,12500.0,0,0,0,1,0,0,1,0,0,1,1,39,2
85017.0,1,0,10950.0,0,0,1,0,0,0,0,0,1,1,1,42,2
84312.0,1,1,11450.0,0,0,0,0,1,0,1,0,0,1,1,40,2
82743.0,1,1,11950.0,0,0,1,1,1,0,1,0,1,1,1,36,0
81106.0,1,1,13250.0,0,0,0,1,0,0,1,0,0,1,1,40,1
80425.0,1,1,14750.0,0,0,1,1,1,0,1,0,0,1,1,39,1
78677.0,1,1,11790.0,0,1,1,1,0,0,1,0,0,1,1,33,2
78425.0,1,0,11450.0,0,1,1,1,0,0,0,0,0,1,1,39,2
78108.0,1,1,13500.0,0,0,0,1,1,0,1,0,1,1,1,32,1
77321.0,1,1,10950.0,0,0,0,1,0,0,1,0,0,1,1,32,2
75699.0,1,1,13500.0,1,0,0,0,0,0,1,0,1,1,1,32,1
75697.0,1,0,10950.0,0,0,0,1,0,0,0,0,1,1,1,40,2
74846.0,1,0,10950.0,0,0,0,1,0,0,1,1,1,1,1,43,2
74319.0,1,1,12950.0,0,1,1,1,0,0,1,0,1,1,1,37,2
74285.0,0,0,11950.0,1,1,0,1,0,0,0,0,0,1,0,42,2
74172.0,0,1,12450.0,0,0,1,1,0,0,1,0,1,1,1,43,2
73042.0,1,1,11950.0,0,1,1,1,0,0,1,0,1,1,1,39,2
71200.0,1,1,12450.0,0,0,1,1,0,0,0,0,0,1,1,34,2
67805.0,1,1,12950.0,0,0,1,1,0,0,0,0,1,1,1,37,2
65988.0,1,0,11950.0,1,0,0,1,0,0,0,0,1,1,1,34,2
65345.0,1,1,11690.0,0,1,1,1,0,0,1,0,1,1,1,33,2
64564.0,1,1,12450.0,0,0,1,1,1,0,1,0,1,1,1,41,2
63459.0,1,1,12750.0,0,0,1,1,0,0,1,1,1,1,1,35,2
63451.0,1,0,11925.0,0,0,0,0,0,0,0,0,1,1,1,43,2
62000.0,1,1,12950.0,1,0,0,1,0,0,1,0,1,0,0,32,2
61300.0,1,1,11950.0,0,0,1,1,1,0,1,0,1,1,1,41,2
61200.0,1,1,12900.0,0,0,1,1,1,0,1,1,1,1,1,40,2
61000.0,1,0,11900.0,0,0,0,0,0,0,0,0,0,1,1,40,2
60829.0,1,0,11650.0,0,0,0,1,0,0,0,0,1,1,1,37,2
60500.0,0,0,10950.0,0,0,0,0,0,0,0,0,1,1,0,43,2
59500.0,1,1,13950.0,1,0,0,1,0,0,1,0,1,0,0,34,1
59000.0,1,1,13950.0,0,0,0,0,1,0,1,0,0,1,1,43,2
58954.0,1,1,11950.0,1,0,0,1,0,0,1,0,0,1,0,39,2
58798.0,1,0,10950.0,0,0,0,1,0,0,0,0,1,1,1,37,2
58363.0,1,1,12450.0,0,0,1,1,1,1,1,1,0,1,1,37,2
58277.0,1,1,11950.0,0,0,0,1,1,0,1,0,0,1,1,42,2
57711.0,1,1,13500.0,1,0,0,1,0,0,0,0,1,1,1,32,1
57269.0,1,1,11690.0,1,0,0,1,0,0,1,0,1,1,1,32,2
56001.0,1,1,13500.0,0,1,0,1,0,0,1,0,1,1,1,38,2
55968.0,1,1,11950.0,0,0,0,0,0,1,0,0,1,1,1,41,2
55678.0,1,1,12900.0,0,1,1,1,0,0,1,1,1,1,1,38,2
55539.0,1,1,13500.0,1,0,0,1,0,1,0,0,1,1,1,42,2
55400.0,0,0,11750.0,0,1,1,0,0,0,0,0,1,1,1,41,2
55350.0,1,1,11750.0,0,0,1,0,0,0,1,0,1,1,1,32,2
54600.0,1,1,10850.0,0,0,0,0,0,0,0,0,1,1,1,42,2
53773.0,1,0,11750.0,1,1,0,1,0,0,0,0,1,1,1,42,2
53644.0,1,0,9940.0,0,0,0,1,0,0,0,0,0,0,0,38,2
53350.0,1,0,12900.0,1,0,0,0,0,0,0,0,1,1,0,41,2
53000.0,1,1,13500.0,1,0,0,1,0,0,1,0,0,1,0,37,2
52084.0,1,1,11750.0,0,0,0,1,0,0,0,1,1,1,1,43,2
52000.0,1,0,11950.0,0,0,0,0,0,0,0,0,0,1,1,43,2
51945.0,1,1,13450.0,0,0,1,1,0,0,1,0,0,1,1,32,2
51732.0,1,0,11950.0,0,0,1,1,0,0,0,0,0,1,1,40,2
50873.0,1,0,12495.0,0,0,1,1,0,0,0,0,1,1,1,38,2
50856.0,1,1,13500.0,1,1,0,0,0,0,1,0,0,1,0,40,2
50640.0,1,0,12750.0,0,0,1,1,0,0,0,0,0,1,1,39,2
50000.0,1,1,12000.0,0,0,0,1,0,0,1,0,0,0,1,38,2
49500.0,1,1,11950.0,0,1,0,1,0,0,1,0,1,1,1,37,2
44218.0,1,0,11895.0,0,1,1,1,0,0,0,1,1,1,1,43,2
49332.0,1,1,12495.0,0,0,1,1,1,0,1,0,1,1,1,43,2
49291.0,1,1,12450.0,0,0,0,1,0,0,0,0,1,1,1,33,2
48952.0,1,1,14750.0,0,1,1,1,1,0,1,0,0,1,1,39,1
48945.0,1,1,10950.0,0,1,1,0,0,0,0,0,0,1,1,38,2
48928.0,1,1,13500.0,1,0,0,1,0,0,0,0,1,1,1,32,1
48197.0,1,0,12950.0,0,0,0,1,0,0,0,0,1,1,1,37,2
48052.0,1,1,13500.0,0,0,0,1,0,0,0,0,1,1,1,34,1
48011.0,1,1,13450.0,0,0,0,1,0,0,0,0,1,1,1,33,2
48000.0,1,0,13500.0,0,1,0,1,0,0,0,0,0,0,0,42,2
47350.0,1,0,11480.0,1,1,0,1,0,0,0,0,1,1,1,40,2
46821.0,1,1,13450.0,0,1,1,1,0,0,1,0,1,1,1,38,2
46694.0,1,0,11495.0,0,0,1,0,0,0,0,1,1,1,1,38,2
46515.0,1,1,12750.0,1,0,0,0,0,0,0,0,0,0,0,42,2
46304.0,1,1,12950.0,0,0,0,1,0,0,1,0,1,1,1,34,2
45886.0,1,1,12950.0,0,1,0,1,1,0,1,0,1,1,1,39,2
45713.0,1,1,12850.0,0,0,1,1,0,0,1,0,0,1,0,38,2
45600.0,1,1,13950.0,0,1,0,1,0,0,1,0,0,1,1,39,2
45287.0,1,0,11950.0,0,1,1,1,0,0,0,0,0,1,1,40,2
45081.0,1,1,12950.0,0,0,1,1,1,0,1,0,1,1,1,38,2
44830.0,1,1,11700.0,0,1,1,1,0,0,0,0,0,1,1,39,2
44757.0,1,1,9950.0,0,0,0,0,0,0,0,0,0,1,1,36,2
64966.0,1,1,8950.0,0,0,0,0,0,0,0,0,0,0,0,61,2
43632.0,1,0,12950.0,0,1,0,1,0,0,1,0,0,1,1,42,2
43427.0,1,0,12500.0,0,0,1,1,0,0,1,1,1,1,1,35,2
43254.0,1,1,13875.0,0,0,1,1,0,0,1,0,1,1,1,38,2
43000.0,1,0,10500.0,0,0,1,0,0,1,1,1,0,1,1,34,2
42823.0,1,1,12295.0,0,0,0,1,0,0,1,0,1,1,1,32,2
42560.0,1,1,13950.0,0,0,1,1,1,0,1,0,1,1,1,41,2
41754.0,1,0,10950.0,0,0,0,0,0,0,0,0,0,1,1,37,2
41499.0,1,0,12950.0,0,0,0,1,0,0,0,0,1,1,1,43,0
41339.0,1,1,12850.0,0,1,1,1,1,0,1,0,1,1,1,39,2
41000.0,1,1,13995.0,0,0,1,1,0,0,1,0,1,1,1,34,2
40000.0,1,1,13750.0,0,1,0,1,1,0,1,1,0,1,1,38,2
39757.0,1,1,12750.0,0,1,1,1,0,0,1,0,1,1,1,36,2
39659.0,1,1,12500.0,0,0,0,1,1,0,1,0,1,1,1,40,2
39650.0,1,0,13950.0,0,0,0,0,1,0,1,1,0,1,1,42,2
39524.0,1,1,11500.0,0,0,1,1,0,0,1,0,1,1,1,38,2
39516.0,1,0,13950.0,0,1,1,1,0,0,1,0,1,1,1,43,2
39439.0,1,0,11895.0,0,0,0,0,0,0,0,0,1,1,1,40,2
39000.0,1,0,9950.0,1,1,0,1,0,0,1,1,0,1,1,43,2
38932.0,1,0,13500.0,0,1,0,1,0,0,1,0,0,1,0,41,2
38812.0,1,1,11450.0,0,0,1,0,0,1,1,0,1,1,1,36,2
38665.0,1,1,12450.0,0,0,0,1,0,0,1,1,1,1,1,41,2
38653.0,1,1,12950.0,0,0,1,1,1,0,1,0,1,1,1,39,2
38461.0,1,1,13995.0,0,1,1,1,1,0,1,0,1,1,1,43,2
38078.0,1,0,11750.0,0,0,0,0,0,0,0,0,0,1,1,41,2
37782.0,1,1,11650.0,0,0,0,1,0,0,1,0,0,1,1,38,2
37576.0,1,1,9950.0,0,0,0,0,1,0,1,0,0,1,1,42,2
37533.0,1,1,13950.0,0,0,0,1,0,0,1,0,0,1,1,40,2
37389.0,1,1,12950.0,0,1,1,1,1,0,1,0,1,1,1,43,2
37320.0,1,1,10950.0,1,0,1,1,0,0,0,0,0,1,1,37,2
37000.0,1,0,9900.0,0,0,0,1,0,0,0,0,1,1,1,41,2
37000.0,1,0,11950.0,0,0,0,0,0,0,0,0,0,1,0,43,2
36566.0,1,1,11990.0,0,0,1,0,1,1,1,1,1,1,1,39,2
36269.0,1,1,10750.0,0,1,1,1,0,0,1,0,0,1,1,35,2
36074.0,1,1,13950.0,1,0,0,1,0,0,1,0,0,1,0,36,2
36066.0,1,0,11250.0,1,1,0,1,0,0,0,0,1,1,1,43,2
34599.0,1,1,12950.0,0,1,0,1,0,0,1,0,0,1,1,38,2
34000.0,1,1,11950.0,0,1,1,1,0,0,1,0,0,1,1,40,2
33623.0,1,0,10950.0,0,0,1,1,0,0,0,0,0,1,1,41,2
33591.0,1,1,12950.0,0,0,0,1,0,0,1,0,0,1,1,32,2
33258.0,1,1,12950.0,1,1,1,1,0,0,1,0,1,1,1,34,2
33113.0,1,0,11695.0,0,0,1,1,0,0,0,0,1,1,1,42,2
33000.0,1,1,11000.0,1,0,0,1,0,0,1,0,0,0,0,40,2
32941.0,1,1,13950.0,0,0,1,1,1,0,1,0,1,1,1,34,2
32781.0,1,1,11950.0,0,0,1,0,0,0,0,0,1,1,1,37,2
32532.0,1,0,11750.0,0,0,1,1,0,0,0,0,1,1,1,39,2
32431.0,1,1,12400.0,0,0,1,1,0,0,1,0,1,1,1,33,2
32000.0,1,0,12500.0,0,0,0,0,0,0,0,0,0,1,1,34,2
31000.0,1,1,12900.0,0,0,0,1,0,0,1,1,0,1,0,32,2
30989.0,1,1,12200.0,0,0,1,0,1,0,1,0,0,1,1,40,2
30742.0,1,1,12750.0,0,0,1,1,0,0,1,0,1,1,1,42,2
30190.0,1,0,11950.0,0,1,0,1,0,0,0,0,1,1,1,41,2
29716.0,1,0,11900.0,0,1,1,1,0,0,0,0,0,1,0,40,2
29716.0,1,1,11950.0,1,0,0,1,0,0,0,0,1,1,1,43,2
29056.0,1,1,11950.0,0,1,1,1,0,0,1,0,1,1,1,40,2
28715.0,1,1,12950.0,0,1,0,1,0,0,1,0,1,1,1,32,2
28362.0,1,1,13450.0,0,1,1,1,0,0,1,1,0,1,1,39,2
28150.0,1,1,13750.0,0,1,0,1,0,0,1,0,0,1,1,37,2
27301.0,1,0,12950.0,0,1,1,1,0,0,0,0,1,1,1,42,2
27240.0,1,1,12750.0,1,0,0,1,0,0,1,0,0,0,0,32,2
27170.0,1,0,11895.0,0,0,0,1,0,0,0,1,1,1,1,38,2
27141.0,1,0,9950.0,0,0,0,1,0,0,0,0,1,1,1,41,2
26262.0,1,1,12450.0,0,0,1,1,0,0,1,0,0,1,1,37,2
26000.0,1,1,12500.0,0,0,0,1,0,0,1,0,1,1,1,37,2
25062.0,1,1,13750.0,0,1,0,1,1,0,1,0,1,1,1,38,2
24723.0,1,0,12695.0,0,0,1,1,0,0,0,0,1,1,1,38,2
24553.0,1,1,12750.0,1,0,0,1,1,0,1,0,1,1,1,42,2
24475.0,0,1,14350.0,0,0,0,1,0,0,1,0,0,1,0,40,2
24444.0,1,0,12950.0,1,1,0,1,0,0,0,0,1,1,1,38,2
24011.0,0,0,11500.0,0,0,0,0,0,0,0,0,1,1,1,34,2
24000.0,1,0,11950.0,0,0,1,1,0,0,0,0,0,1,1,40,2
23616.0,1,1,13450.0,0,0,0,1,0,0,1,0,0,1,1,39,2
22865.0,1,1,12900.0,0,0,1,1,0,0,1,0,1,1,1,37,2
22780.0,1,0,10500.0,1,0,0,1,1,1,1,1,1,1,1,40,2
21904.0,1,0,10950.0,0,0,0,0,0,0,0,0,0,1,1,34,2
21651.0,1,0,11950.0,0,0,0,0,0,0,0,0,1,1,1,40,2
21500.0,1,0,11450.0,0,1,0,1,0,0,1,0,1,0,0,36,2
21027.0,1,1,13250.0,0,1,1,1,1,0,1,0,1,1,1,43,2
18500.0,1,1,10250.0,0,0,0,0,0,0,0,0,0,0,1,38,2
18000.0,1,1,13995.0,0,1,0,1,0,0,1,0,1,1,1,34,2
17051.0,1,0,11950.0,0,0,0,0,0,0,0,0,1,1,1,39,2
16512.0,1,1,13250.0,0,0,1,1,0,0,1,0,0,1,0,32,2
16325.0,1,1,12950.0,0,0,1,1,1,0,1,0,0,1,1,39,2
16000.0,1,1,11750.0,0,0,1,1,0,0,1,0,0,1,1,37,2
12000.0,1,0,11500.0,0,0,0,1,0,0,0,0,0,0,0,38,2
10000.0,1,0,13500.0,1,0,0,1,0,0,0,0,0,0,0,42,2
143513.0,0,0,10250.0,0,0,0,0,0,0,0,0,0,1,0,52,1
142130.0,1,1,9250.0,0,1,1,0,0,0,0,0,0,1,1,47,0
140700.0,1,1,7750.0,0,0,1,1,0,0,1,0,0,1,0,47,1
138394.0,1,1,9450.0,0,0,1,1,0,0,0,1,0,1,1,53,1
137000.0,1,1,7750.0,0,0,0,1,0,1,1,0,0,0,1,54,1
135258.0,1,0,8250.0,0,1,1,1,0,0,0,0,0,1,1,51,1
131364.0,1,0,9950.0,0,0,0,1,0,0,1,0,0,1,1,48,2
126110.0,1,0,9950.0,0,0,0,0,1,0,1,1,0,1,1,49,2
119742.0,1,1,9000.0,1,0,1,1,1,0,1,1,0,1,1,47,2
117913.0,1,1,9950.0,0,0,1,1,1,0,1,1,0,1,0,52,1
117430.0,1,0,12450.0,0,0,1,1,0,0,0,1,0,1,1,46,1
117175.0,1,1,10500.0,0,0,0,1,1,0,1,0,1,1,1,54,2
115558.0,1,1,10750.0,1,1,0,1,1,0,1,0,1,1,1,53,2
115113.0,1,0,8950.0,0,1,1,1,0,0,0,0,1,1,1,52,2
115046.0,1,1,10500.0,0,0,1,1,0,0,1,0,0,1,1,53,1
113997.0,1,0,5150.0,0,0,0,1,0,0,1,0,0,0,0,55,1
107859.0,1,0,10950.0,0,0,0,0,0,0,0,0,1,1,1,48,2
104805.0,1,1,9450.0,0,0,1,1,0,0,0,0,1,1,1,51,2
103454.0,1,1,9950.0,0,0,0,1,1,0,1,1,1,1,1,53,2
103018.0,1,0,10950.0,0,1,0,0,0,0,0,0,0,1,1,50,1
102352.0,1,1,11900.0,0,1,0,1,1,0,1,0,1,1,1,46,2
102030.0,1,1,9950.0,0,0,0,1,0,0,1,0,1,1,1,49,2
101352.0,1,1,11950.0,0,0,0,0,1,0,1,0,1,1,1,53,2
99865.0,1,0,7900.0,0,0,0,1,0,0,0,0,0,1,0,49,2
99323.0,1,1,10950.0,0,0,1,1,1,0,1,1,1,1,1,51,2
98100.0,1,1,8950.0,0,0,0,1,0,0,0,0,0,1,1,47,1
98040.0,1,0,11950.0,0,0,0,0,0,0,0,0,1,1,1,50,2
97600.0,1,1,10900.0,1,1,0,1,0,0,1,0,0,1,0,48,2
97234.0,1,1,9950.0,0,0,0,0,1,0,1,0,0,1,1,54,2
96135.0,1,0,9950.0,0,0,0,0,0,1,0,0,0,1,1,50,1
96100.0,1,1,10950.0,0,0,0,1,1,0,1,0,1,1,1,53,2
94401.0,1,0,8950.0,0,0,0,0,0,1,0,0,0,1,1,54,1
94122.0,1,0,8950.0,0,1,0,1,0,1,1,0,0,1,1,54,2
91340.0,1,1,10500.0,0,1,0,1,1,0,1,1,1,1,1,48,2
90200.0,1,0,8950.0,0,0,1,0,0,0,0,1,0,1,1,52,2
90097.0,1,0,9250.0,1,1,0,1,0,0,0,0,1,1,1,52,1
89049.0,1,1,11500.0,1,0,0,1,0,0,0,0,0,1,0,47,2
89000.0,1,0,9750.0,0,0,0,0,0,0,0,0,0,0,1,51,2
87274.0,1,0,9950.0,0,0,0,1,0,0,1,0,1,1,1,44,2
86221.0,1,1,11450.0,0,0,0,0,1,0,1,0,1,1,1,48,2
84598.0,1,1,12500.0,1,1,0,0,0,0,1,0,0,1,0,53,2
83567.0,1,0,10500.0,0,1,1,0,0,0,0,0,0,1,1,49,2
83106.0,1,1,12950.0,0,1,1,1,0,0,0,0,1,1,1,49,2
82805.0,1,1,12200.0,0,0,1,1,0,0,0,0,1,1,1,49,2
82735.0,1,1,10950.0,0,0,1,1,1,0,1,1,1,1,1,49,2
81905.0,1,1,10950.0,0,0,1,1,1,0,1,0,0,1,0,53,2
80320.0,1,0,11290.0,1,1,0,1,0,0,0,0,1,1,1,48,2
80090.0,1,1,10750.0,1,0,0,1,0,0,1,0,0,1,0,48,2
79800.0,1,0,10895.0,0,0,0,0,0,0,0,0,1,1,1,52,2
78785.0,1,0,11500.0,1,1,0,1,0,0,0,0,1,1,1,46,0
78600.0,1,0,9750.0,1,0,0,1,0,0,1,0,0,1,1,47,2
77780.0,1,0,10250.0,0,1,0,0,0,0,0,0,0,1,1,54,2
77648.0,1,0,12500.0,0,0,1,0,0,0,1,0,1,1,1,48,2
77270.0,1,1,11950.0,0,0,1,1,0,0,1,0,1,1,1,53,2
76167.0,1,1,10750.0,0,0,0,1,0,0,0,0,1,1,1,49,2
75249.0,1,1,11450.0,0,0,1,1,0,0,0,0,1,1,1,45,2
75231.0,1,1,11950.0,0,0,0,1,1,0,1,0,1,1,1,53,2
75045.0,1,1,11750.0,1,0,0,1,0,0,1,1,0,0,0,47,2
74849.0,1,0,10950.0,0,0,0,1,0,0,0,0,1,1,1,49,2
74715.0,1,1,11950.0,0,0,1,1,1,0,1,0,1,1,1,54,2
74656.0,1,0,10995.0,1,0,0,0,0,0,0,0,1,1,1,48,1
74500.0,1,0,11450.0,0,0,0,0,0,0,0,0,0,1,1,55,2
74494.0,1,0,8900.0,0,1,1,1,0,0,0,0,1,1,1,48,2
73634.0,1,0,10500.0,0,0,0,0,1,0,1,0,0,0,0,49,2
73403.0,1,0,11750.0,0,0,0,1,0,0,1,0,1,1,1,46,2
73175.0,1,1,11450.0,0,0,1,1,1,0,1,0,1,1,1,48,2
73000.0,1,1,12000.0,0,0,0,0,1,0,1,1,0,1,1,51,2
72242.0,1,0,11950.0,0,0,0,0,0,0,1,0,1,1,1,49,2
72000.0,1,1,9850.0,0,0,0,1,0,0,1,0,0,0,1,52,2
71725.0,1,1,10950.0,0,1,1,1,0,0,0,0,0,1,1,53,2
71276.0,1,1,10950.0,0,0,0,0,1,0,1,0,0,1,1,53,2
70440.0,1,0,8695.0,1,0,0,1,0,0,1,0,0,1,0,49,1
70239.0,1,1,10990.0,1,0,0,0,0,0,0,0,0,1,1,52,2
69813.0,1,0,9500.0,1,1,0,1,0,0,0,0,0,1,1,54,2
69659.0,1,1,11950.0,0,0,0,0,1,1,1,0,0,1,1,48,2
69574.0,1,1,10750.0,0,0,0,0,1,0,1,0,1,1,1,45,2
69000.0,0,1,8750.0,0,0,0,1,0,0,0,0,0,1,1,46,1
68565.0,1,0,8750.0,0,0,1,1,0,0,0,0,0,1,1,48,2
68520.0,1,0,11450.0,0,0,1,1,0,0,0,1,1,1,1,54,1
68414.0,1,0,9950.0,0,0,1,0,0,0,1,0,1,1,1,45,2
66777.0,1,1,11950.0,0,1,0,0,1,0,1,0,1,1,1,55,2
66527.0,1,1,13950.0,0,1,1,1,1,0,1,0,1,1,1,51,2
66063.0,1,1,11250.0,0,0,0,1,1,0,1,1,0,1,1,53,2
65471.0,1,1,10900.0,0,0,1,1,0,0,0,0,0,1,1,49,2
65400.0,1,0,9750.0,0,0,1,1,0,0,0,0,1,1,1,55,2
65170.0,1,1,9950.0,1,0,0,1,0,0,0,0,1,1,1,51,2
65000.0,0,1,11950.0,0,0,0,1,0,0,0,0,0,0,0,55,2
64193.0,1,0,10450.0,0,0,0,1,0,0,0,0,0,1,1,47,2
64000.0,1,0,8950.0,1,0,0,1,0,0,0,0,0,1,1,53,2
63792.0,1,1,10250.0,1,0,0,1,0,0,1,0,0,1,1,53,2
63635.0,1,1,9930.0,0,0,1,1,1,0,0,0,0,1,1,52,2
63135.0,1,1,10500.0,0,1,0,1,0,0,1,0,1,1,1,53,2
63123.0,1,1,11950.0,0,0,1,1,0,0,1,0,1,1,1,53,2
63000.0,1,1,11500.0,1,1,0,1,0,0,1,0,0,1,0,47,1
63000.0,1,1,11500.0,0,0,0,0,0,0,1,0,0,1,0,54,2
62987.0,1,1,11450.0,0,1,0,0,1,0,1,0,0,1,1,53,2
62751.0,1,1,9900.0,0,1,0,0,0,1,0,0,0,1,1,55,2
62519.0,1,0,9500.0,1,0,1,0,0,0,0,0,0,1,1,53,2
62280.0,1,1,10500.0,0,0,0,1,0,0,0,0,0,1,1,49,2
61672.0,1,0,10750.0,1,0,0,0,0,0,0,0,0,0,0,49,2
61000.0,1,0,8950.0,1,1,0,0,0,0,0,0,0,1,0,53,1
61000.0,0,0,12000.0,0,0,0,1,0,0,1,0,1,1,1,55,2
60558.0,1,1,9940.0,0,0,1,1,1,0,1,0,0,0,0,52,2
60348.0,1,0,10950.0,0,0,0,0,0,0,1,0,1,1,1,46,2
60239.0,1,0,10750.0,1,1,0,1,0,0,0,0,0,1,1,53,2
59000.0,0,1,9799.0,1,0,0,1,0,0,1,0,0,1,0,50,2
58761.0,1,0,11750.0,1,1,0,0,0,0,1,0,0,1,0,50,2
58745.0,1,1,11950.0,0,0,1,1,1,0,1,0,1,1,1,53,2
58596.0,1,1,11250.0,0,0,0,1,1,0,1,0,0,1,1,51,2
